Pencil,Hue,Value,Chroma
175,10YR,4,1
280,10YR,4,3
250,10YR,6,4
180,10YR,5,6
182,10YR,6,8
185,10YR,9,12
105,10YR,10,15
271,7.5YR,8,1
252,7.5YR,6,4
179,7.5YR,5,4
102,7.5YR,10,10
113,7.5YR,8,14
109,7.5YR,8,14
184,7.5YR,9,15
108,7.5YR,9,26
177,5YR,4,2
178,5YR,4,3
283,5YR,5,5
189,5YR,7,7
187,5YR,6,9
183,5YR,8,13
186,2.5YR,6,11
111,2.5YR,8,15
176,10R,4,4
132,10R,8,5
190,10R,6,12
188,10R,6,12
115,10R,6,14
263,7.5R,4,3
131,7.5R,7,9
191,7.5R,6,12
223,7.5R,6,13
118,7.5R,6,13
117,7.5R,7,18
275,5R,4,1
225,5R,5,8
121,5R,6,14
219,5R,7,21
126,5R,7,21
169,2.5R,4,5
217,2.5R,4,8
193,2.5R,5,8
192,2.5R,4,8
142,2.5R,5,10
226,2.5R,5,11
130,2.5R,7,11
127,2.5R,5,13
124,2.5R,7,16
133,10RP,5,8
272,7.5RP,7,2
129,7.5RP,8,19
270,5RP,8,2
194,5RP,4,9
128,5RP,6,14
274,2.5RP,4,1
273,2.5RP,5,2
135,2.5RP,5,7
125,2.5RP,6,14
123,2.5RP,5,16
119,10P,7,12
134,7.5P,5,15
160,5P,5,8
136,5P,5,10
251,2.5P,7,2
138,2.5P,5,11
181,10PB,3,2
249,10PB,4,7
137,10PB,4,13
231,7.5PB,7,2
141,7.5PB,4,9
232,5PB,6,2
120,5PB,4,9
144,5PB,4,10
143,5PB,6,10
247,2.5PB,4,6
246,2.5PB,4,7
140,2.5PB,7,8
101,10B,10,1
157,10B,3,4
146,10B,8,5
145,10B,7,9
152,10B,6,10
110,10B,6,10
151,10B,4,13
149,5B,4,11
230,2.5B,8,1
155,2.5B,4,5
172,10BG,6,1
158,10BG,4,4
153,10BG,4,10
154,7.5BG,8,8
156,7.5BG,5,18
235,2.5BG,4,1
159,2.5BG,4,4
276,2.5BG,6,9
161,10G,6,10
264,7.5G,5,6
267,5G,4,2
233,2.5G,6,1
162,2.5G,8,11
163,2.5G,6,12
234,10GY,6,1
167,7.5GY,5,6
165,7.5GY,9,7
266,7.5GY,6,9
171,7.5GY,8,10
166,7.5GY,7,12
112,7.5GY,7,12
173,2.5GY,5,4
168,2.5GY,6,7
170,2.5GY,6,8
199,10Y,4,1
278,10Y,4,2
174,10Y,5,3
205,10Y,9,11
104,7.5Y,9,11
106,5Y,9,10
103,2.5Y,9,6
268,2.5Y,6,8
107,2.5Y,9,12
